key,en,ar,eg
I have no tires,I have no tires.,?? ???? ??????.,معيش عجل.
back tires are full,Back tires are full.,???????? ??????? ??????.,العجل الي ورا تمام.
front tires are full,Front tires are full.,???????? ???????? ??????.,العجل الي قدام تمام.
tires and battery are missing, tires and battery are missing.,???????? ????????? ??????., عجلات والبطارية ناقصين.
tires missing, tires missing.,???????? ??????., عجلات ناقصين.
Battery is missing,Battery is missing.,???????? ??????.,البطارية ناقصة.
I forgot the keys,I forgot the keys.,???? ????????.,نسيت اجيب المفاتيح.
The keys are with him,The keys are with him.,???????? ???.,المفاتيح معاه.
Battery is alright,Battery is alright.,???????? ?????.,البطارية تمام.
I don't have battery,I don't have battery.,?? ???? ????????.,معيش بطارية.
I think he's dead,I think he's dead.,??? ??? ???.,شكله كدة مات.
He can't see me now,He can't see me now.,?? ?????? ????? ????.,مش هيشوفني كدة.
I should clean this blood,I should clean this blood.,??? ?? ???? ??? ????.,لازم امسح الدم ده.
There's a mob in the garage,There's a mob in the garage.,???? ??? ?? ??????.,في مكنسة فالجراج.
to ride the elevator,to ride the elevator.,???? ??????.,عشان تركب الاسانسير.
to open the computer,to open the computer.,??? ???????.,عشان تفتح الكمبيوتر.
to open the note,to open the note.,??? ???????.,عشان تفتح النوتة.
to put tires,to put tires.,????? ????????.,عشان تركب العجل.
to ride the car,to ride the car.,???? ???????.,عشان تركب العربية.
to put the battery,to put the battery.,????? ????????.,عشان تحط البطارية.
Unhide to hit him,Unhide to hit him!,???? ???? ?????!,اطلع عشان تضربه!
to hide,to hide.,????????.,عشان تستخبى
play,Play,?????,العب
press,Press 'E' ,???? ??? �E�,دوس 'E' 
click,Click ,????,دوس 
garage,Garage,??????,الجراج
apartment,Apartment,?????,الشقة
settings,Settings,?????????,الظبط
language,Language,?????,اللغة
touch,Touch?,??????,تاتش؟
continue,Contiune,??????,كمل
main_menu,Main Menu,??????? ????????,القايمة الرئيسية
