key,en,ar,eg
I have no tires,I have no tires.,لا أملك إطارات.,معيش عجل.
back tires are full,Back tires are full.,الإطارات الخلفية كاملة.,العجل الي ورا تمام.
front tires are full,Front tires are full.,الإطارات الأمامية كاملة.,العجل الي قدام تمام.
tires and battery are missing, tires and battery are missing., إطارات والبطارية مفقودة., عجلات والبطارية ناقصين.
tires missing, tires missing., إطارات مفقودة., عجلات ناقصين.
Battery is missing,Battery is missing.,البطارية مفقودة.,البطارية ناقصة.
I forgot the keys,I forgot the keys.,لقد نسيت المفاتيح.,نسيت اجيب المفاتيح.
The keys are with him,The keys are with him.,المفاتيح معه.,المفاتيح معاه.
Battery is alright,Battery is alright.,البطارية موجوة بالفعل.,البطارية تمام.
I don't have battery,I don't have battery.,لا أملك بطارية.,معيش بطارية.
I think he's dead,I think he's dead.,أعتقد أنه مات.,شكله كدة مات.
He can't see me now,He can't see me now.,لا يمكنه رؤيتي الآن.,مش هيشوفني كدة.
I should clean this blood,I should clean this blood.,يجب أن أمسح هذا الدم.,لازم امسح الدم ده.
There's a mob in the garage,There's a mob in the garage.,هناك مكنسة بالجراج.,في مكنسة فالجراج.
to ride the elevator,to ride the elevator.,لتركب المصعد.,عشان تركب الاسانسير.
to open the computer,to open the computer.,لتفتح الحاسوب.,عشان تفتح الكمبيوتر.
to open the note,to open the note.,لتفتح الملحوظة.,عشان تفتح النوتة.
to put tires,to put tires.,لتضع الإطارات.,عشان تركب العجل.
to ride the car,to ride the car.,لتركب السيارة.,عشان تركب العربية.
to put the battery,to put the battery.,لتضع البطارية.,عشان تحط البطارية.
Unhide to hit him,Unhide to hit him!,اخرج لتضربه!,اطلع عشان تضربه!
to hide,to hide.,لتختبئ.,عشان تستخبى
play,Play,العب,العب
